No	IDp	JP	PP	PM	TR	H	K	P	M	S	TG	ALFI	ANDI	INCEP	OXI	ULTI	LDAS	Y	KP	KBAIRp	latitude	longitude
75	69	10581	1.80	1200	965	0.00	0.00	0.00	49.50	9.93	30.96	0.00	15.89	35.93	39.40	0.00	3660.76	7.15	802.08	85738.21	107.6215	-6.9469
90	70	10881	1.86	3664	3038	45.27	24.89	1.30	14.66	10.91	0.60	0.00	64.82	11.28	22.07	0.00	7808.07	2.60	566.86	129242.21	107.3560	-7.0750
12	71	5870	1.00	3740	1150	40.65	3.91	1.08	0.42	31.30	9.91	0.00	23.29	13.76	31.65	24.85	9278.65	1.35	399.54	82426.03	107.2210	-7.0758
74	72	4868	0.83	5356	1592	19.09	12.55	0.00	0.00	11.45	51.36	0.00	0.00	94.45	0.00	0.00	3159.07	1.00	325.61	30035.88	107.1549	-7.0412
62	73	4172	0.71	2260	1700	26.87	22.47	21.76	1.07	13.38	0.00	0.00	7.23	23.71	52.83	0.00	11661.31	3.20	936.49	199590.21	107.2527	-7.0278
86	74	5454	0.93	2476	822	38.36	30.29	0.00	1.57	17.31	3.87	0.00	0.00	65.29	29.01	0.00	8320.18	5.08	726.34	110952.26	107.2079	-6.9902
87	75	5454	0.93	2476	822	38.36	30.29	0.00	1.57	17.31	3.87	0.00	0.00	65.29	29.01	0.00	8320.18	5.08	726.34	110952.26	107.2365	-6.9777
64	76	6314	1.08	1904	950	93.88	0.00	0.00	0.00	2.07	0.00	0.00	0.00	39.94	57.68	0.00	2076.17	5.43	762.58	46230.75	107.2462	-6.9501
58	77	4479	0.76	4628	1570	27.34	14.40	0.00	0.00	26.26	32.01	0.00	0.00	75.19	24.81	0.00	2716.25	1.58	390.56	30976.76	107.1701	-6.9949
35	78	4546	0.78	4128	1503	36.74	12.02	0.00	0.00	0.00	39.64	0.00	0.00	98.34	0.00	0.00	4863.50	1.19	278.87	39602.97	107.0957	-7.0262
80	79	5161	0.88	3548	2970	24.28	6.41	0.00	0.00	1.52	62.83	0.00	72.14	23.24	2.76	0.00	4272.86	2.11	555.83	0.00	107.0765	-6.9435
37	80	4107	0.70	2792	1076	0.00	0.00	0.00	0.00	68.65	0.00	43.58	0.00	0.00	26.45	0.00	1491.45	4.54	591.80	25773.18	107.2097	-6.8517
49	81	5488	0.94	2792	1664	11.84	0.00	0.00	5.90	51.83	9.10	17.11	0.00	0.00	63.84	0.00	6463.54	5.72	812.76	153397.24	107.2574	-6.8408
33	82	5497	0.94	3864	1875	54.66	0.00	7.01	1.29	22.14	0.00	18.10	0.00	0.00	67.30	0.00	3659.65	3.17	495.41	52940.88	107.2142	-6.9169
42	83	5339	0.91	1464	1425	59.28	0.00	0.00	0.96	25.93	7.32	17.41	0.00	8.53	67.36	0.00	3078.22	4.68	985.38	88569.85	107.1654	-6.9474
47	84	6578	1.12	4120	1504	27.66	6.08	0.00	0.83	14.60	47.12	0.00	0.00	26.76	68.25	0.00	2948.85	4.25	1058.41	91135.83	107.1220	-6.9757
72	85	5417	0.92	4628	600	7.66	0.00	0.00	9.91	46.75	31.35	16.64	62.15	0.00	14.09	0.00	3611.10	2.59	580.28	61187.46	107.1368	-6.9187
71	86	3391	0.58	5758	1076	0.00	0.00	5.50	0.00	81.68	0.00	79.06	1.05	0.00	1.83	0.00	1981.65	0.51	71.77	4152.77	107.1855	-6.8806
7	87	4372	0.75	1540	698	3.76	2.20	59.14	0.00	14.23	11.02	19.38	0.00	67.95	1.84	0.00	2928.07	6.15	725.53	62032.86	107.2155	-6.7445
55	88	4502	0.77	1160	1739	46.87	0.00	19.01	4.11	11.89	16.81	2.73	87.75	5.84	0.00	0.00	10221.09	1.91	484.63	144641.50	107.0622	-6.8636
51	89	6220	1.06	2436	1257	8.55	0.00	0.00	14.80	65.95	0.00	55.43	0.00	21.38	2.15	0.00	4604.77	3.64	426.41	57335.22	107.2025	-6.8102
3	90	5316	0.91	2415	1300	51.62	10.05	20.51	2.40	9.37	0.18	4.59	30.19	61.50	0.23	0.00	14406.47	3.47	700.23	294564.43	107.1294	-6.7783
23	91	5579	0.95	2708	1069	53.22	1.07	53.22	3.43	28.22	10.52	3.00	30.36	65.99	0.00	0.00	6293.50	1.14	228.17	41931.49	107.1053	-6.8267
8	92	5676	0.97	2860	1973	0.00	0.00	2.35	17.94	62.94	16.76	45.59	34.71	19.71	0.00	0.00	2580.69	2.70	384.69	28988.59	107.1246	-6.8553
